ID	Len	GC	Group
RF00665_AABR04063999.1	80	0.562	RF00665
RF00665_AADA01143465.1	82	0.524	RF00665
RF00665_AAHX01003731.1	84	0.488	RF00665
RF00665_AAHY01059233.1	80	0.525	RF00665
RF00665_AAIY01463435.1	84	0.488	RF00665
RF00665_AANG01678937.1	82	0.463	RF00665
RF00665_AANN01201868.1	83	0.590	RF00665
RF00665_AANU01181644.1	84	0.500	RF00665
RF00665_AAPE01571248.1	81	0.580	RF00665
RF00665_AAPY01553483.1	80	0.537	RF00665
RF00665_AAQQ01482589.1	82	0.524	RF00665
RF00665_AAWR02030859.1	82	0.561	RF00665
RF00665_AAYZ01246660.1	82	0.573	RF00665
RF00665_ABBA01068200.1	83	0.470	RF00665
RF00665_ABDC01467998.1	82	0.512	RF00665
RF00665_AC191152.6	82	0.549	RF00665
